archivo_original,nombre_nuevo,categoria,orig_kb,full_webp_kb,thumb_webp_kb,capturado_en
DJI_20260902154548_0023_D_LEO.jpg,01_aerea_contexto_costa_lejos.webp,terreno-contexto,16847,526,27,2026-09-02
DJI_20260902154916_0031_D_LEO.jpg,02_aerea_bloque2_oblicua_cercana.webp,obra-exterior,14906,356,19,2026-09-02
DJI_20260902155153_0035_D_LEO.jpg,03_aerea_peninsula_la_barra_contexto.webp,terreno-contexto,21946,598,33,2026-09-02
DJI_20260902155855_0053_D_LEO.jpg,04_aerea_skyline_punta_del_este.webp,terreno-contexto,8976,447,21,2026-09-02
DJI_20260902155933_0055_D_LEO.jpg,05_aerea_bloque2_obra_oblicua_larga.webp,obra-exterior,18158,435,25,2026-09-02
DJI_20260902160101_0060_D_LEO.jpg,06_aerea_balcones_detalle.webp,obra-exterior,8989,483,26,2026-09-02
7IV01188.jpg,07_fachada_bloque2_dia_completa.webp,obra-exterior,22007,287,18,2026-09-02
7IV01194.jpg,08_fachada_bloque2_angulo.webp,obra-exterior,20013,153,15,2026-09-02
7IV01196.jpg,09_fachada_bloque2_vertical.webp,obra-exterior,26592,804,41,2026-09-02
7IV01199.jpg,10_terraza_planta_baja_vacia.webp,obra-exterior,21286,325,22,2026-09-02
7IV01229.jpg,11_vista_terraza_peninsula_skyline.webp,vista-mar,27942,349,14,2026-09-02
7IV01122-HDR.jpg,12_terraza_pergolotecho_parrillero.webp,unidad-terraza,21554,227,15,2026-09-02
7IV01130.jpg,13_terraza_sillon_vista_verde.webp,unidad-terraza,23490,187,13,2026-09-02
7IV01108-HDR.jpg,14_living_ventanales_vista_verde.webp,unidad-interior,19207,239,15,2026-09-02
7IV01154-HDR.jpg,15_living_esquina_ventanal_vista.webp,unidad-interior,18389,125,9,2026-09-02
7IV01089.jpg,16_living_comedor_amplio.webp,unidad-interior,16398,193,13,2026-09-02
7IV01084.jpg,17_cocina_equipada_completa.webp,unidad-interior,20003,176,12,2026-09-02
7IV01237.jpg,18_cocina_vista_horizonte_mar.webp,unidad-interior,22327,316,17,2026-09-02
7IV01217.jpg,19_bano_completo_ducha.webp,unidad-interior,15163,76,7,2026-09-02
7IV01176.jpg,20_dormitorio_placard_vacio.webp,unidad-interior,21368,102,7,2026-09-02
7IV01156.jpg,21_escalera_interna_duplex.webp,unidad-interior,14044,49,5,2026-09-02
7IV01235.jpg,22_parrillero_empotrado_detalle.webp,unidad-terraza,21905,181,8,2026-09-02
DSC05102.jpg,23_fachada_bloque2_atardecer.webp,obra-exterior,7301,556,34,2026-09-02
DSC05104.jpg,24_fachada_bloque2_atardecer_angulo.webp,obra-exterior,7953,511,32,2026-09-02
DSC05108.jpg,25_terraza_cubierta_interior_video.webp,unidad-terraza,7223,512,23,2026-09-02
DSC05094.jpg,26_pasillo_placard_video.webp,unidad-interior,6294,59,5,2026-09-02
